X,Y,U,V
437,42,6.680533,-0.091387644
437,47,6.6211343,0.03789825
437,52,6.414636,-0.04288301
432,57,4.9619594,5.6968346
437,57,6.218612,5.139307
442,57,-9.998676,-0.4223465
437,62,5.7791424,4.727135
442,62,-10.145371,-0.40862948
447,62,-9.4511,-3.1315134
482,62,-6.560731,-3.1136832
487,62,-6.42115,-1.6693456
442,67,-9.908429,-0.19161882
437,72,6.230309,-0.08219488
442,72,-9.454278,-0.039405655
497,72,-0.05056159,8.92003
517,72,-0.4574833,6.721232
522,72,-4.789493,7.3108735
492,77,-0.095144905,11.0
497,77,0.022435762,11.0
502,77,0.40301266,11.0
522,77,-6.2766256,-12.0
527,77,-4.495275,-12.0
477,82,-10.968705,-3.668125
507,82,-0.12676497,-12.0
512,82,-0.22468364,-12.0
517,82,-1.2015315,-12.0
522,82,-6.6261597,-12.0
527,82,-6.7304935,-12.0
532,82,10.070667,-7.995171
462,87,-1.0153052,-12.0
467,87,-4.2832165,-12.0
472,87,-8.730659,-9.613874
477,87,-9.794394,-11.436079
492,87,-0.16470076,-9.467498
497,87,-0.43440792,-9.273557
502,87,-5.9674664,-8.227044
507,87,-8.768496,-8.184878
512,87,-0.409125,-12.0
467,92,11.0,11.0
472,92,11.0,11.0
482,92,-7.30469,-12.0
487,92,-1.2269164,-10.020416
492,92,-0.19436093,-11.0920105
497,92,-0.14512303,-12.0
502,92,-10.027886,-6.7549877
442,97,-5.837982,-2.034705
472,97,11.0,11.0
482,97,-7.68915,-7.210067
487,97,-2.4030051,-10.276124
492,97,-1.1179575,-11.007585
497,97,-5.7813797,-8.651472
507,97,7.2333946,0.31166694
437,102,-7.4678073,-2.6828375
442,102,-8.712046,-3.213798
452,102,8.480637,8.949743
462,102,11.0,11.0
482,102,-8.638166,-7.785079
487,102,-7.045528,-8.984841
442,107,0.8675407,8.063075
447,107,3.7570262,6.977881
452,107,3.7623177,6.88033
457,107,4.8385563,6.4845915
477,107,-12.0,-10.951391
482,107,-9.535908,-12.0
442,112,1.485716,6.4602833
447,112,3.9207695,5.9186215
452,112,4.4522295,6.0870233
457,112,4.98908,5.7200427
472,112,-12.0,-12.0
497,112,11.0,11.0
437,117,-0.29073772,6.641238
442,117,-0.05279126,6.999237
447,117,5.1708646,5.307804
452,117,5.0503483,5.2834687
457,117,6.73282,4.170005
462,117,-12.0,2.2386246
492,117,11.0,11.0
392,122,-12.0,-0.12122748
447,122,5.1146884,4.071213
457,122,-11.239025,0.71206117
462,122,-9.451212,0.071138844
367,127,5.783552,-6.645166
372,127,8.111207,-6.3963585
377,127,7.5320954,-6.450826
382,127,6.7532873,-5.9924407
392,127,-12.0,-2.3649418
452,127,-10.67482,0.20201851
457,127,-9.661679,0.14050788
462,127,-7.9639864,-0.067463875
367,132,-5.4596353,2.7792041
372,132,-7.2021794,4.6086802
377,132,8.271383,-8.963072
392,132,-12.0,-5.6912475
457,132,-12.0,4.523877
362,137,-5.285312,3.0048923
367,137,-5.438959,3.8008938
372,137,-6.5713463,7.309708
377,137,-6.340622,8.830154
392,137,-12.0,-6.9088655
402,137,-2.5167696,-9.240098
407,137,8.16524,-12.0
457,137,-12.0,3.4574113
382,142,-2.871489,-12.0
402,142,-2.4110522,-7.0471826
427,142,11.0,-0.9589623
402,147,-2.8137288,-8.979835
407,147,-0.93766725,-8.469096
397,152,-4.268987,-9.591943
402,152,-4.1830754,-9.116373
412,152,0.43271586,11.0
417,152,0.19314066,10.303764
377,157,7.8382998,4.20057
382,157,11.0,4.3967385
397,157,-4.883615,-8.214408
402,157,-6.933101,-8.921835
367,162,-10.354802,-11.212921
372,162,-11.057148,-11.076672
377,162,8.934115,8.080934
382,162,11.0,9.117677
387,162,11.0,9.306521
377,167,8.724277,11.0
382,167,10.426404,11.0
387,167,-12.0,-0.9060624
377,172,-1.590229,-6.880729
402,172,11.0,11.0
322,177,9.021849,1.3575505
337,177,-12.0,-9.414908
357,182,-12.0,0.57313216
362,182,0.19845106,-8.421912
337,187,7.297305,-0.21661256
342,187,10.457873,-0.010235595
357,187,-0.0136322295,-12.0
362,187,0.36069635,-11.256343
322,192,0.33360335,6.1464877
337,192,7.45236,-0.1100547
342,192,11.0,0.8212764
347,192,5.8751216,-7.3959017
362,192,0.88312626,-9.480415
367,192,2.1045394,9.197257
287,197,-9.043081,-0.38999975
292,197,-12.0,-0.14893499
297,197,-12.0,-0.008415437
312,197,0.30194545,6.6470575
317,197,0.07366966,6.3673077
322,197,-0.024311818,6.9707866
337,197,7.7130084,0.24983402
342,197,11.0,0.30655277
352,197,-4.04829,11.0
357,197,-0.35095593,9.855818
362,197,-0.26622903,10.1564
372,197,0.47838742,-10.793566
377,197,-12.0,5.3005
292,202,11.0,-0.3735285
297,202,9.873966,0.1490303
317,202,0.17536429,6.2730894
322,202,0.1307574,8.592572
332,202,5.8404503,1.8822968
337,202,8.000499,0.4041766
342,202,9.1034355,0.24127187
347,202,8.97109,-0.14668807
352,202,-7.0673747,3.4806325
357,202,-0.03546048,6.3709664
267,207,-3.592206,-5.792625
272,207,-3.0995467,-5.9413595
277,207,4.533867,-11.147297
282,207,6.983016,-8.744274
287,207,11.0,-5.851175
292,207,11.0,-2.987257
297,207,10.052533,-0.17733882
327,207,1.7087774,5.953706
337,207,9.6756,0.31279418
342,207,7.848335,0.3554176
257,212,-1.2679526,10.248737
267,212,-2.1488934,-5.7065845
272,212,-0.031240452,-6.635529
277,212,0.19170924,-6.7817087
287,212,11.0,-4.6837254
292,212,11.0,-2.5052018
317,212,11.0,0.48997024
337,212,0.3510125,6.103774
342,212,8.460218,0.42035565
252,217,6.5103846,-0.33611795
292,217,-7.2447033,0.69680095
297,217,-10.443871,1.1281036
332,217,5.608343,2.8149662
337,217,8.464043,1.9573897
342,217,-11.399906,-12.0
347,217,-9.531376,-12.0
312,222,6.577186,0.3447976
317,222,8.309355,0.34860653
322,222,8.810564,0.43390203
327,222,10.252035,0.46587405
307,227,6.303521,0.2316445
312,227,7.3086624,0.2474082
317,227,9.042203,0.18262373
322,227,9.603449,0.27236912
327,227,-12.0,-12.0
332,227,-8.260002,-12.0
337,227,-3.8926978,-12.0
342,227,6.4852767,-0.72236025
292,232,11.0,0.064231254
297,232,10.221619,-0.024386719
302,232,7.2945857,0.052175913
307,232,6.897593,0.22672974
317,232,-3.9533362,-5.469228
342,232,7.4464345,-0.0832501
257,237,0.5852687,9.001649
262,237,0.87773246,10.317725
292,237,11.0,0.17806745
297,237,8.652591,-0.20488167
312,237,-9.106971,-1.3022395
327,237,-7.0282693,1.1144758
332,237,7.549136,0.34562016
337,237,7.4401245,0.101162605
342,237,6.831771,-0.20732585
262,242,2.584061,11.0
267,242,1.2353641,11.0
327,242,-6.122372,3.6086135
337,242,7.0114245,0.27832314
202,247,-12.0,2.6162057
207,247,-8.717505,0.34804526
242,247,-7.789606,0.43052983
307,247,-8.288648,0.13032609
312,247,-12.0,-4.5120554
322,247,6.293943,0.21345504
327,247,6.1239514,0.218957
197,252,-9.33608,0.10578537
202,252,-12.0,0.3684831
207,252,-10.764202,0.175763
212,252,-12.0,0.20854627
242,252,-8.81699,-1.7204707
247,252,-6.8528256,-1.6361228
267,252,0.024168048,-12.0
187,257,8.278941,-5.861939
197,257,-8.210716,-0.01428236
202,257,-12.0,0.047208376
207,257,-12.0,-0.020231606
212,257,-12.0,0.24844342
247,257,10.342404,-5.578695
182,262,10.212059,-9.1198225
187,262,11.0,-8.465551
197,262,-6.919541,-0.39406505
202,262,-11.320686,-1.7760136
222,262,11.0,11.0
242,262,9.923513,-4.808814
247,262,9.275119,-5.103088
197,267,-7.1379,-3.7634342
202,267,-12.0,-11.064949
242,267,6.495193,-1.8807023
247,267,6.043369,-3.147902
252,267,6.219783,-3.1429284
187,272,-0.93714637,6.5230703
197,272,-6.955796,-3.13158
202,272,-10.224861,-3.0318873
207,272,-12.0,-1.8226035
212,272,-6.901905,0.13534069
242,272,6.9468775,0.03709805
247,272,8.11094,-0.10318122
252,272,6.3436704,-0.22127575
187,277,-0.21196584,7.754752
197,277,-6.830011,-3.4074767
202,277,-9.718797,-2.4302049
207,277,-11.233807,-1.737939
237,277,7.094136,2.0202572
1272,277,-3.8606138,-6.265545
1277,277,-0.44332185,-6.943773
192,282,0.4951192,6.7876935
197,282,-6.4618626,-2.0831141
202,282,-7.4984794,-1.2424413
207,282,-8.347391,-1.0811697
237,282,6.61198,1.719191
1262,282,-7.4215384,-5.255072
1277,282,9.632527,7.9614167
207,287,7.0472174,1.7439026
212,287,10.144344,1.0948921
217,287,11.0,0.8265725
227,287,6.3052616,0.6977032
232,287,-1.6417992,9.607978
237,287,7.195217,1.6181654
1272,287,8.712659,10.169799
1277,287,8.4606,8.8666115
202,292,0.2730253,7.7946806
207,292,7.9365993,2.8094926
212,292,11.0,1.8254124
217,292,10.100882,3.6944218
222,292,3.9632273,6.052465
227,292,7.4481316,-0.5555391
232,292,-2.0451503,11.0
237,292,-1.003224,11.0
162,297,-0.051977236,11.0
187,297,-0.008075976,6.5783076
192,297,-0.42025858,6.850365
197,297,0.12418475,7.645624
202,297,0.7723845,8.743585
207,297,8.878575,1.8428266
212,297,11.0,1.859395
242,297,2.624439,-9.009375
137,302,5.9797955,-6.7129607
147,302,5.161196,-6.046512
152,302,3.2029464,-5.60565
182,302,0.20573361,6.249098
187,302,-0.37126228,6.5757914
192,302,-3.2233462,7.6633234
202,302,7.010084,0.6411143
207,302,9.922789,0.35102233
212,302,11.0,0.27067584
217,302,-5.4283433,-6.9971547
222,302,-0.08661705,-7.3389263
227,302,1.6925168,-6.4214854
232,302,2.7768803,-5.923492
137,307,7.2603745,-7.1211033
142,307,-4.5343566,9.406629
147,307,6.250523,-6.5194597
187,307,-1.4811884,6.668164
192,307,-6.583111,6.6932244
202,307,7.354433,0.16796184
207,307,9.487146,0.130919
212,307,-12.0,-2.6395466
232,307,2.9521148,-5.7012916
142,312,11.0,5.462181
147,312,3.6090221,8.913614
192,312,-6.731278,-0.3394022
202,312,7.798626,-0.16025335
207,312,11.0,-1.6974357
222,312,3.6243668,-6.1913276
147,317,3.6775184,11.0
152,317,4.8252077,11.0
157,317,8.813457,11.0
172,317,-7.5701838,0.08275037
187,317,-4.0959196,-5.4963074
202,317,7.56146,-0.06640357
212,317,11.0,-4.9927044
217,317,9.175784,-5.625108
167,322,-8.673751,0.22506438
197,322,5.8127613,5.0311565
202,322,4.1182327,4.7003655
207,322,3.663646,5.5537777
157,327,9.046342,-0.96288466
167,327,-9.289195,0.063316226
197,327,5.6000915,2.549406
227,327,-4.914318,10.264265
117,332,-6.1561227,-0.9968027
122,332,-6.5001874,0.04723204
157,332,9.1139765,-0.5605923
162,332,9.765899,-1.0101936
167,332,-7.487134,-0.2305213
172,332,-6.672435,-0.20145874
227,332,-5.116065,11.0
232,332,-5.8963704,9.270479
237,332,-6.6470995,8.894761
117,337,-7.4043245,-0.37494582
152,337,1.1200356,-10.824075
157,337,8.700693,0.79655683
162,337,9.809071,0.58297074
232,337,-7.081671,9.084688
167,342,-6.830878,-0.123052016
77,347,-6.167963,-1.0688607
82,347,-8.864881,-0.31921405
112,347,0.88514364,-6.012167
162,347,-10.30082,4.1939297
167,347,-8.840359,3.4819467
67,352,3.3086922,-5.647705
72,352,10.0845995,-6.8103313
77,352,-1.9039131,-6.161371
82,352,-0.31044915,-6.834914
87,352,-3.1163337,-6.168339
92,352,-3.4798968,-5.976814
97,352,-3.0177393,-5.784944
157,352,-0.503508,-12.0
162,352,-0.13242766,-12.0
167,352,0.008461507,-12.0
67,357,1.8700376,-8.978798
72,357,3.0139053,-9.917714
82,357,-0.3489862,-8.101408
87,357,-1.8154148,-6.8045845
92,357,-3.9513798,-5.8575177
97,357,-4.7544374,-5.7306437
102,357,-2.6213083,-5.954122
152,357,-6.027824,-8.768785
157,357,-3.823567,-9.825344
162,357,-3.1112173,-10.278258
167,357,-0.1804605,-12.0
67,362,2.2155392,-9.5458555
72,362,3.051579,-10.09146
77,362,3.0120075,-10.170353
82,362,0.8691918,-9.042705
87,362,-0.36307728,-8.317008
92,362,-4.031886,-6.096714
122,362,0.28425616,6.7906857
147,362,-12.0,-4.6057677
152,362,-8.280939,-5.793279
157,362,-4.594869,-7.9136677
162,362,11.0,4.4602447
167,362,11.0,2.5280416
77,367,-1.8114277,-6.658782
82,367,-0.23323487,-7.7519765
87,367,-0.07728684,-7.6305256
127,367,0.014941727,-10.591814
132,367,1.720189,-11.007366
137,367,2.080973,-10.833937
142,367,1.0136851,-10.959741
147,367,-12.0,-3.0755496
167,367,11.0,2.3944287
122,372,0.24154189,-8.420583
127,372,-0.05497316,-9.234457
132,372,-6.6104684,-5.2494106
137,372,-0.3735978,-9.045102
142,372,-0.43678266,-9.233326
147,372,-1.1029675,-8.876249
167,372,-7.2331395,-5.8524933
82,377,-0.08000144,-6.380479
122,377,6.2816935,-1.7386096
127,377,-6.993324,7.8655252
132,377,-9.137047,8.23573
157,377,-6.464788,3.1111338
162,377,-8.055966,3.450489
82,382,0.17064895,-8.463419
122,382,6.7625685,-0.16746667
127,382,6.6751056,-2.3764539
157,382,-7.4721403,0.29929984
82,387,-0.031652,-7.3354607
87,387,-0.068222426,-8.020126
92,387,0.02718413,-9.12028
97,387,0.12369093,-10.015719
117,387,7.8483706,-1.0437549
122,387,6.39944,-0.6263458
127,387,5.8925896,-2.2385447
137,387,11.0,10.480464
152,387,-2.2709126,-6.097045
147,392,-9.073799,0.85023093
112,402,11.0,-5.979732
117,402,8.214045,-6.821739
122,402,3.7105205,-7.1971655
112,407,9.406994,-8.085195
117,407,7.4319954,-8.389745
122,407,4.200366,-8.298491
127,407,1.7570332,-7.7671075
112,412,7.031313,-8.663524
117,412,6.3842382,-8.472401
122,412,4.4212723,-7.714547
112,417,6.8922577,-8.233114
117,417,2.4290702,7.740961
122,417,0.15030941,7.3346257
122,422,0.70880514,6.0468836
157,427,-1.4785085,6.744969
117,432,-10.466283,4.033898
152,432,-1.649103,-6.045594
112,437,-6.0093265,6.5486093
117,437,-9.419806,5.0303698
122,437,-12.0,4.2476044
172,437,4.2489653,-5.2216945
107,442,-6.5030074,4.398089
112,442,-6.653984,5.1827645
117,442,-9.750287,5.4969935
122,442,-12.0,5.6414237
172,442,4.4557786,-4.527608
177,442,4.589262,-4.2878895
92,447,-8.041404,-6.6369886
107,447,-7.244695,5.1929717
112,447,-6.8826914,5.27408
117,447,-9.521962,4.5889854
122,447,-12.0,2.950166
127,447,-6.1066966,0.8516706
152,447,6.569825,0.23593944
82,452,-3.7610855,-5.0588675
92,452,-7.493107,0.8257955
107,452,-0.21863276,-12.0
112,452,2.6784585,10.143873
117,452,-9.511615,4.2175794
122,452,-12.0,0.4790557
127,452,-8.5771885,0.43109062
42,457,6.0266166,5.2188063
52,457,9.115897,6.210582
107,457,0.20654456,-12.0
112,457,0.67176,-12.0
122,457,-12.0,4.3039055
127,457,-9.695413,0.25090146
92,462,-7.3615026,0.22279908
167,462,-6.6928368,2.237029
172,462,-6.989824,2.9225914
92,467,-0.026378624,11.0
97,467,-8.321122,0.7896127
102,467,-8.086953,0.44786435
107,467,-7.368725,2.8751714
112,467,-3.351162,9.366253
117,467,-3.2300556,9.177048
122,467,-2.8965437,9.109461
127,467,-0.93289083,9.097342
132,467,-1.3452213,8.437573
152,467,-7.0045753,0.33523414
157,467,-8.444798,0.49172887
162,467,-8.328472,0.34711292
167,467,-6.6902366,1.3060235
52,472,8.49309,-2.76768
97,472,-7.7083406,1.5774314
102,472,-7.625928,1.3870357
107,472,-6.8474298,2.9429946
112,472,-7.128683,4.046495
117,472,-6.758552,5.077793
122,472,-3.0151784,10.060236
127,472,-0.25383538,11.0
132,472,-1.8227665,8.4863825
152,472,-7.7878456,0.15830672
157,472,-8.69469,0.2469819
162,472,-8.860042,0.14557831
167,472,-7.0080986,0.19913784
97,477,-7.1690536,2.1676233
102,477,-6.9185886,1.8310009
107,477,-6.6876955,2.6460106
112,477,-5.8125844,3.8352363
117,477,-6.6379356,3.9607575
127,477,-0.40621516,-7.6011763
132,477,-0.19651778,-7.015338
142,477,-7.4697027,-0.039959483
152,477,-8.4444685,-0.07902126
157,477,-9.122743,0.085889414
162,477,-9.714736,0.037336104
172,477,11.0,9.917369
87,482,-8.205228,3.9807887
92,482,-7.592867,0.853401
97,482,-6.525178,0.3548127
107,482,-6.155114,2.1617646
112,482,-5.1263146,3.49293
